Title;URL;Publication Date;Document Number;Agencies
Request for Information: Responsible Procurement of Artificial Intelligence in Government;https://www.federalregister.gov/documents/2024/03/29/2024-06547/request-for-information-responsible-procurement-of-artificial-intelligence-in-government;2024-03-29;2024-06547;OFFICE OF MANAGEMENT AND BUDGET
Request for Information to the Update of the National Artificial Intelligence Research and Development Strategic Plan;https://www.federalregister.gov/documents/2022/02/02/2022-02161/request-for-information-to-the-update-of-the-national-artificial-intelligence-research-and;2022-02-02;2022-02161;OFFICE OF SCIENCE AND TECHNOLOGY POLICY
Request for Input From the Public on Section 7.1(b) of Executive Order 14110, “Safe, Secure, and Trustworthy Development and Use of Artificial Intelligence”;https://www.federalregister.gov/documents/2024/04/25/2024-08818/request-for-input-from-the-public-on-section-71b-of-executive-order-14110-safe-secure-and;2024-04-25;2024-08818;DEPARTMENT OF JUSTICE, National Institute of Justice
Request for Information (RFI) on an Implementation Plan for a National Artificial Intelligence Research Resource;https://www.federalregister.gov/documents/2021/07/23/2021-15660/request-for-information-rfi-on-an-implementation-plan-for-a-national-artificial-intelligence;2021-07-23;2021-15660;NATIONAL SCIENCE FOUNDATION, OFFICE OF SCIENCE AND TECHNOLOGY POLICY
Request for Comments on the U.S. Artificial Intelligence Safety Institute's Draft Document: Managing Misuse Risk for Dual-Use Foundation Models;https://www.federalregister.gov/documents/2024/08/08/2024-17614/request-for-comments-on-the-us-artificial-intelligence-safety-institutes-draft-document-managing;2024-08-08;2024-17614;DEPARTMENT OF COMMERCE, National Institute of Standards and Technology
Request for Information (RFI) on an Implementation Plan for a National Artificial Intelligence Research Resource;https://www.federalregister.gov/documents/2021/08/18/2021-17737/request-for-information-rfi-on-an-implementation-plan-for-a-national-artificial-intelligence;2021-08-18;2021-17737;OFFICE OF SCIENCE AND TECHNOLOGY POLICY, NATIONAL SCIENCE FOUNDATION
"Request for Information; National Priorities for Artificial Intelligence";https://www.federalregister.gov/documents/2023/05/26/2023-11346/request-for-information-national-priorities-for-artificial-intelligence;2023-05-26;2023-11346;SCIENCE AND TECHNOLOGY POLICY OFFICE
AI Accountability Policy Request for Comment;https://www.federalregister.gov/documents/2023/04/13/2023-07776/ai-accountability-policy-request-for-comment;2023-04-13;2023-07776;DEPARTMENT OF COMMERCE, National Telecommunications and Information Administration
"Opportunities and Challenges of Artificial Intelligence (AI) in Transportation; Request for Information";https://www.federalregister.gov/documents/2024/05/03/2024-09645/opportunities-and-challenges-of-artificial-intelligence-ai-in-transportation-request-for-information;2024-05-03;2024-09645;DEPARTMENT OF TRANSPORTATION
AI and Open Government Data Assets Request for Information;https://www.federalregister.gov/documents/2024/04/17/2024-08168/ai-and-open-government-data-assets-request-for-information;2024-04-17;2024-08168;DEPARTMENT OF COMMERCE
Request for Information on the Development of an Artificial Intelligence (AI) Action Plan;https://www.federalregister.gov/documents/2025/02/06/2025-02305/request-for-information-on-the-development-of-an-artificial-intelligence-ai-action-plan;2025-02-06;2025-02305;NATIONAL SCIENCE FOUNDATION
Request for Information on the Development of a 2025 National Artificial Intelligence (AI) Research and Development (R&D) Strategic Plan;https://www.federalregister.gov/documents/2025/04/29/2025-07332/request-for-information-on-the-development-of-a-2025-national-artificial-intelligence-ai-research;2025-04-29;2025-07332;NATIONAL SCIENCE FOUNDATION
Notice of Request for Information (RFI) on Frontiers in AI for Science, Security, and Technology (FASST) Initiative;https://www.federalregister.gov/documents/2024/09/12/2024-20676/notice-of-request-for-information-rfi-on-frontiers-in-ai-for-science-security-and-technology-fasst;2024-09-12;2024-20676;DEPARTMENT OF ENERGY
"Opportunities and Challenges of Artificial Intelligence (AI) in Transportation; Request for Information; Extension of Comment Period";https://www.federalregister.gov/documents/2024/07/01/2024-14436/opportunities-and-challenges-of-artificial-intelligence-ai-in-transportation-request-for-information;2024-07-01;2024-14436;DEPARTMENT OF TRANSPORTATION
"Request for Information Regarding the Global AI Research Agenda; Extension of Comment Period";https://www.federalregister.gov/documents/2024/04/15/2024-07864/request-for-information-regarding-the-global-ai-research-agenda-extension-of-comment-period;2024-04-15;2024-07864;Agency for International Development
"Notice of Request for Information (RFI) on Frontiers in AI for Science, Security, and Technology (FASST) Initiative; Reopening of Comment Period";https://www.federalregister.gov/documents/2024/12/13/2024-29364/notice-of-request-for-information-rfi-on-frontiers-in-ai-for-science-security-and-technology-fasst;2024-12-13;2024-29364;DEPARTMENT OF ENERGY
Request for Comments on Artificial Intelligence Export Competitiveness;https://www.federalregister.gov/documents/2022/08/16/2022-17576/request-for-comments-on-artificial-intelligence-export-competitiveness;2022-08-16;2022-17576;DEPARTMENT OF COMMERCE, International Trade Administration
Request for Information and Comment on Financial Institutions' Use of Artificial Intelligence, Including Machine Learning;https://www.federalregister.gov/documents/2021/03/31/2021-06607/request-for-information-and-comment-on-financial-institutions-use-of-artificial-intelligence;2021-03-31;2021-06607;DEPARTMENT OF THE TREASURY, Office of the Comptroller of the Currency, BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM, FEDERAL DEPOSIT INSURANCE CORPORATION, BUREAU OF CONSUMER FINANCIAL PROTECTION, NATIONAL CREDIT UNION ADMINISTRATION
Request for Comments on Draft Documents Responsive to NIST's Assignments Under Executive Order 14110 (Sections 4.1, 4.5, and 11);https://www.federalregister.gov/documents/2024/05/07/2024-09824/request-for-comments-on-draft-documents-responsive-to-nists-assignments-under-executive-order-14110;2024-05-07;2024-09824;DEPARTMENT OF COMMERCE, National Institute of Standards and Technology
Request for Comments Regarding Artificial Intelligence and Inventorship;https://www.federalregister.gov/documents/2023/02/14/2023-03066/request-for-comments-regarding-artificial-intelligence-and-inventorship;2023-02-14;2023-03066;DEPARTMENT OF COMMERCE, Patent and Trademark Office
Request for Information on Artificial Intelligence Infrastructure on DOE Lands;https://www.federalregister.gov/documents/2025/04/07/2025-05936/request-for-information-on-artificial-intelligence-infrastructure-on-doe-lands;2025-04-07;2025-05936;DEPARTMENT OF ENERGY
Request for Comments Regarding the Impact of the Proliferation of Artificial Intelligence on Prior Art, the Knowledge of a Person Having Ordinary Skill in the Art, and Determinations of Patentability Made in View of the Foregoing;https://www.federalregister.gov/documents/2024/04/30/2024-08969/request-for-comments-regarding-the-impact-of-the-proliferation-of-artificial-intelligence-on-prior;2024-04-30;2024-08969;DEPARTMENT OF COMMERCE, Patent and Trademark Office
Request for Comments on Advancing Governance, Innovation, and Risk Management for Agency Use of Artificial Intelligence Draft Memorandum;https://www.federalregister.gov/documents/2023/11/03/2023-24269/request-for-comments-on-advancing-governance-innovation-and-risk-management-for-agency-use-of;2023-11-03;2023-24269;OFFICE OF MANAGEMENT AND BUDGET
